"Season","Team","G","PA","AB","HR","R","SB","CS","BABIP","AVG","OBP","SLG","wOBA","wRC+","WAR","H","2B","3B","HR","BB","HBP","wRC","WPA"
"1896","Pirates","1230","5254","4701","27","787","217","",".306",".292",".353",".385",".352","98","17.6","1371","169","94","27","387","58","798",""
"1949","Cardinals","1894","6151","5463","102","766","17","",".289",".277",".348",".404",".352","99","24.1","1513","281","54","102","569","25","770",""
"1954","Cardinals","2053","6127","5405","119","799","63","46",".294",".281",".350",".421",".352","100","24.7","1518","285","58","119","582","30","783",""
"1939","Indians","1759","6006","5316","85","797","72","46",".302",".280",".350",".413",".352","96","19.8","1490","291","79","85","556","14","785",""
"1932","Indians","1569","6121","5412","78","845","52","54",".300",".285",".357",".413",".352","95","18.9","1544","310","74","78","566","33","844",""
"1919","Indians","1491","5325","4565","24","634","113","",".298",".278",".354",".381",".352","103","24.0","1268","254","72","24","498","38","664",""
"1998","Red Sox","2043","6302","5601","205","876","72","39",".310",".280",".348",".463",".352","107","31.1","1568","338","35","205","541","70","890","3.04"
"1900","Cardinals","1352","5444","4877","36","744","243","","",".291",".356",".375",".352","102","20.5","1420","141","81","36","406","81","801",""
"1912","Pirates","1602","5879","5252","39","751","177","",".309",".284",".340",".398",".352","102","29.0","1493","222","129","39","420","26","772",""
"1944","Cardinals","1755","6168","5474","100","772","37","",".287",".275",".344",".402",".352","108","36.9","1507","274","59","100","543","27","783",""
"1891","Browns","1326","5717","5005","58","976","283","",".282",".266",".357",".355",".352","98","22.8","1330","169","51","58","625","87","928",""
"1934","Athletics","1732","5922","5320","144","764","57","35",".294",".280",".343",".425",".352","94","21.5","1492","236","50","144","490","13","790",""
"2005","Red Sox","2344","6403","5626","199","910","45","12",".310",".281",".357",".454",".352","112","27.6","1579","339","21","199","653","47","906","15.77"
"1896","Colts","1222","5118","4582","34","815","332","",".300",".286",".349",".390",".352","91","14.1","1311","182","97","34","409","35","777",""
"1941","Dodgers","1816","6218","5485","101","800","36","",".287",".272",".347",".405",".352","109","35.1","1494","286","69","101","600","27","802",""
"1929","Indians","1695","5873","5191","62","717","75","85",".305",".293",".352",".415",".352","93","14.6","1521","290","79","62","447","26","769",""
"2007","Red Sox","2278","6426","5589","166","867","96","24",".315",".279",".362",".444",".352","109","29.7","1561","352","35","166","689","64","906","1.29"
"2002","Yankees","2135","6377","5601","223","897","100","38",".310",".275",".354",".455",".352","116","28.5","1540","314","12","223","640","72","900","11.09"
"1933","Senators","1781","6209","5521","60","851","65","50",".301",".287",".353",".402",".352","101","29.1","1586","281","86","60","537","21","820",""
"1949","Tigers","1819","6137","5259","88","751","39","52",".282",".267",".361",".378",".352","95","20.2","1405","215","51","88","748","23","766",""
"2000","Mariners","1985","6444","5497","198","907","122","56",".299",".269",".361",".442",".352","107","28.8","1481","300","26","198","775","48","907","3.04"
"2011","Red Sox","2269","6414","5710","203","875","102","42",".314",".280",".349",".461",".352","117","36.3","1600","352","35","203","578","50","902","5.45"
"1996","White Sox","1786","6497","5644","195","898","105","41",".303",".281",".360",".447",".352","106","24.5","1586","284","33","195","701","34","926","-0.32"
"2008","Red Sox","2293","6402","5596","173","845","120","35",".315",".280",".358",".447",".351","110","32.9","1565","353","33","173","646","70","893","5.70"
"1895","Pirates","1260","5192","4645","26","811","257","",".306",".290",".352",".386",".351","93","16.4","1349","190","89","26","376","65","811",""
"1999","Athletics","1928","6442","5519","235","893","70","37",".285",".259",".355",".446",".351","106","19.7","1430","287","20","235","770","71","896","6.97"
"1998","Rockies","2326","6277","5632","183","826","67","47",".321",".291",".347",".461",".351","87","13.7","1640","333","36","183","469","37","875","-6.06"
"1890","Ward's Wonders","1230","5431","4887","34","964","272","",".294",".277",".349",".374",".351","92","12.3","1352","186","93","34","502","42","898",""
"1951","Yankees","1886","5924","5194","140","798","78","39",".278",".269",".349",".408",".351","108","31.1","1395","208","48","140","602","37","762",""
"2003","Yankees","2180","6431","5605","230","877","98","33",".295",".271",".356",".453",".351","115","26.5","1518","304","14","230","684","81","914","9.39"
"1951","Red Sox","1826","6211","5378","127","804","20","21",".279",".266",".358",".392",".351","96","20.6","1428","233","32","127","756","18","799",""
"1995","Angels","1551","5690","5019","186","801","57","39",".302",".277",".352",".448",".351","106","22.7","1390","252","25","186","564","36","796","2.35"
"1953","Cardinals","2003","6065","5397","140","768","18","22",".288",".273",".347",".424",".351","99","22.8","1474","281","56","140","574","39","798",""
"1922","Cubs","1749","6092","5335","42","771","97","108",".314",".293",".359",".390",".351","93","18.4","1564","248","71","42","525","27","774",""
"2009","Red Sox","2317","6344","5543","212","872","126","39",".301",".270",".352",".454",".351","106","24.4","1495","335","25","212","659","70","877","5.36"
"1890","Browns","1281","5369","4800","48","870","307","","",".273",".350",".370",".351","103","18.9","1308","178","73","48","474","95","887",""
"2007","Phillies","2446","6537","5688","213","892","138","19",".311",".274",".354",".458",".351","105","34.9","1558","326","41","213","641","90","912","9.30"
"1922","Reds","1651","5943","5282","45","766","130","136",".312",".296",".353",".401",".351","99","25.6","1561","226","99","45","436","36","757",""
"1893","Colts","1198","5165","4664","32","829","255","",".290",".279",".348",".379",".351","91","10.0","1299","186","93","32","465","36","811",""
"1994","Tigers","1205","4574","3955","161","652","46","33",".301",".265",".352",".454",".351","106","13.1","1048","216","25","161","520","34","647","-0.01"
"1926","Reds","1762","6047","5320","35","747","51","",".304",".290",".349",".400",".351","105","30.5","1541","242","120","35","454","34","755",""
"1890","Burghers","1170","5200","4577","35","835","249","",".278",".260",".349",".369",".351","98","16.7","1192","168","113","35","569","54","857",""
"1997","Yankees","1773","6527","5711","161","891","99","57",".316",".286",".362",".436",".351","111","22.8","1636","325","23","161","676","37","903","7.86"
"1938","Browns","1722","6048","5333","92","755","51","40",".298",".281",".355",".397",".351","85","6.2","1498","273","36","92","589","20","790",""
"1923","Pirates","1621","5943","5405","49","786","154","75",".309",".295",".347",".404",".351","96","24.3","1592","224","111","49","407","28","751",""
"1935","Cubs","1656","6133","5486","88","847","66","",".303",".288",".347",".414",".350","105","34.3","1581","303","62","88","464","33","810",""
