"Season","Team","G","AB","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","OPS","wOBA","wRC+","EV","BsR","Off","Def","WAR","H","1B","2B","3B","HR","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","wOBA"
"1950","Dodgers","1814","5364","6086","194","847","774","77","10.0%","10.4%",".172",".279",".272",".349",".444",".793",".362","105","","13.7","53.6","65.8","30.6","1461","974","247","46","194","607","","632","27","","88","139","77","",".362"
"1931","Cubs","1748","5451","6178","84","828","765","49","9.3%","10.4%",".133",".316",".289",".360",".422",".782",".362","110","","8.4","90.6","27.2","30.5","1578","1088","340","66","84","577","","641","25","","125","","49","",".362"
"1896","Senators","1280","4639","5315","45","818","702","258","9.7%","6.9%",".102",".303",".286",".365",".388",".753",".362","99","","-2.7","-14.9","-32.8","13.5","1328","1025","179","79","45","516","","365","61","","99","","258","",".362"
"1936","White Sox","1616","5466","6283","60","920","862","66","10.9%","6.7%",".105",".308",".292",".374",".397",".771",".362","91","","-3.4","-85.9","70.8","20.9","1597","1199","282","56","60","684","","419","26","","107","","66","29",".362"
"1890","Infants","1207","4804","5362","27","849","701","180","9.5%","6.4%",".100",".303",".285",".360",".386",".745",".362","103","","-25.4","-1.9","-59.2","15.6","1370","1036","213","94","27","509","","345","49","","","","180","",".362"
"1949","Dodgers","1832","5400","6173","152","879","816","117","10.3%","9.2%",".146",".283",".274",".354",".419",".773",".362","105","","22.1","59.9","74.0","33.4","1477","1042","236","47","152","638","","570","33","","102","127","117","0",".362"
"1936","Senators","1660","5433","6095","62","889","823","104","9.5%","6.6%",".119",".310",".295",".365",".414",".779",".362","95","","-1.6","-47.5","56.6","22.4","1601","1162","293","84","62","577","","401","24","","61","","104","42",".362"
"1911","Giants","1671","5006","5781","41","756","651","347","9.2%","8.8%",".111",".305",".279",".358",".390",".748",".361","111","","25.5","103.7","30.1","32.9","1399","1030","225","103","41","530","","506","85","","160","","347","",".361"
"1889","Giants","1205","4671","5236","52","935","743","292","10.3%","7.4%",".111",".299",".282",".360",".393",".753",".361","110","","-5.2","78.9","40.4","28.7","1319","982","208","77","52","538","","386","27","","","","292","",".361"
"2007","Yankees","2366","5717","6528","201","968","929","123","9.8%","15.2%",".174",".318",".290",".366",".463",".829",".361","119","","11.9","168.2","-47.2","33.9","1656","1097","326","32","201","637","32","991","78","54","41","138","123","40",".361"
"1895","Beaneaters","1232","4715","5391","54","907","753","199","9.3%","4.4%",".100",".297",".290",".365",".391",".755",".361","92","","-10.1","-84.5","10.0","12.5","1369","1061","197","57","54","500","","236","51","","125","","199","",".361"
"1927","Tigers","1773","5300","6113","51","845","765","139","9.7%","6.9%",".120",".307",".289",".363",".409",".772",".361","99","","-8.1","-18.4","20.8","21.7","1532","1099","281","101","51","590","","420","25","","198","","139","73",".361"
"1896","Beaneaters","1243","4717","5300","36","860","736","241","7.8%","5.2%",".091",".313",".300",".363",".392",".755",".361","95","","-5.9","-49.6","33.9","17.3","1416","1131","175","74","36","414","","274","51","","118","","241","",".361"
"1896","Spiders","1260","4856","5435","28","840","712","175","8.0%","5.8%",".090",".318",".301",".363",".391",".754",".361","96","","-20.2","-54.3","36.5","17.6","1463","1156","207","72","28","436","","316","37","","106","","175","",".361"
"1897","Spiders","1214","4604","5175","16","773","663","181","8.4%","",".090","",".298",".364",".389",".753",".361","99","","-9.5","-13.9","33.6","19.3","1374","1078","192","88","16","435","","","38","","98","","181","",".361"
"1954","Dodgers","1865","5251","6058","186","778","741","46","10.5%","10.3%",".174",".274",".270",".349",".444",".794",".361","104","","-1.9","25.5","58.9","28.3","1418","930","246","56","186","634","","625","35","59","79","137","46","39",".361"
"1939","Tigers","1758","5326","6106","124","849","803","88","10.1%","9.7%",".147",".296",".279",".356",".426",".782",".361","93","","-1.6","-61.1","47.6","20.4","1487","1019","277","67","124","619","","593","16","","145","125","88","38",".361"
"1930","Senators","1689","5369","6113","57","892","819","101","8.7%","7.2%",".124",".321",".302",".369",".425",".794",".361","103","","-13.8","12.4","95.7","31.0","1620","1168","297","98","57","533","","438","38","","173","","101","68",".361"
"1939","Cardinals","1944","5447","6116","98","779","732","44","7.8%","9.3%",".138",".314",".294",".354",".432",".785",".361","104","","6.3","40.0","55.4","27.8","1601","1109","332","62","98","475","","566","27","","167","115","44","",".361"
"1922","Pirates","1637","5521","6151","52","865","777","145","6.9%","5.3%",".111",".320",".308",".360",".419",".779",".361","100","","17.9","17.8","-16.9","21.9","1698","1297","239","110","52","423","","326","32","","175","","145","59",".361"
"1921","Giants","1756","5278","5946","75","840","748","137","7.9%","6.6%",".123",".312",".298",".359",".421",".781",".361","108","","-4.4","54.3","87.1","34.0","1575","1170","237","93","75","469","","390","33","","166","","137","114",".361"
"2000","Astros","2303","5570","6444","249","938","900","114","10.4%","17.5%",".199",".305",".278",".361",".477",".837",".361","105","","-0.3","45.1","-10.9","23.0","1547","973","289","36","249","673","57","1129","83","61","57","154","114","52",".361"
"1926","Tigers","1881","5313","6182","36","793","717","88","9.7%","6.8%",".107",".311",".291",".366",".398",".765",".361","99","","-15.5","-23.5","-4.7","19.6","1547","1140","281","90","36","598","","423","33","","238","","88","71",".361"
"1923","Giants","1798","5452","6083","85","854","790","106","8.0%","6.7%",".120",".307",".295",".356",".415",".772",".361","106","","6.0","51.5","65.4","32.3","1610","1201","248","76","85","487","","406","31","","113","","106","70",".361"
"1938","Senators","1732","5474","6158","85","814","768","65","9.3%","6.1%",".124",".302",".293",".362",".416",".778",".360","99","","-5.8","-16.4","44.5","25.5","1602","1167","278","72","85","573","","374","18","","93","","65","37",".360"
"1929","Cardinals","1678","5364","6030","100","831","779","72","8.1%","7.5%",".145",".305",".293",".354",".438",".792",".360","93","","12.1","-52.0","23.9","16.5","1569","1075","310","84","100","490","","455","22","","154","","72","",".360"
"1899","Orioles","1444","5073","5707","17","827","649","364","7.3%","",".078","",".297",".365",".376",".741",".360","104","","25.9","57.6","44.5","29.6","1509","1217","204","71","17","418","","","122","","94","","364","",".360"
"1897","Giants","1282","4844","5360","31","895","758","328","7.5%","",".093","",".299",".361",".392",".753",".360","102","","18.0","35.2","26.2","23.2","1449","1146","188","84","31","404","","","67","","45","","328","",".360"
"1950","Indians","1831","5263","6080","164","806","758","40","11.4%","10.2%",".153",".280",".269",".358",".422",".781",".360","104","","-8.8","24.7","64.2","29.8","1417","985","222","46","164","693","","623","38","","86","146","40","34",".360"
"1927","Pirates","1710","5397","6077","54","817","759","65","7.2%","5.8%",".107",".320",".305",".361",".412",".773",".360","103","","8.5","34.9","48.2","27.3","1648","1258","258","78","54","437","","355","29","","214","","65","",".360"
"1998","Yankees","1962","5643","6444","207","965","907","153","10.1%","15.9%",".172",".317",".288",".364",".460",".825",".360","116","","3.1","138.3","6.9","36.1","1625","1097","290","31","207","653","34","1025","57","59","32","145","153","63",".360"
"1926","Senators","1792","5223","6009","43","802","721","117","9.2%","6.0%",".109",".308",".292",".364",".401",".765",".360","102","","-17.6","-1.4","10.5","22.7","1526","1142","244","97","43","555","","363","37","","194","","117","90",".360"
"1997","Indians","1917","5556","6304","220","868","810","118","9.8%","15.1%",".181",".309",".286",".358",".467",".825",".360","113","","-1.4","106.5","-8.1","31.3","1589","1046","301","22","220","617","39","955","37","49","45","153","118","59",".360"
"1949","Yankees","1890","5196","6041","115","829","760","58","12.1%","8.9%",".131",".282",".269",".362",".400",".762",".360","105","","-2.4","33.2","65.4","30.3","1396","1006","215","60","115","729","","539","32","","84","141","58","30",".360"
"1938","Indians","1681","5356","6001","113","847","799","83","9.2%","10.1%",".153",".300",".281",".350",".434",".784",".360","95","","-1.5","-47.5","25.1","20.0","1506","1004","300","89","113","551","","606","16","","78","","83","36",".360"
"1921","Browns","1714","5446","6103","67","835","726","91","6.8%","6.6%",".121",".318",".303",".357",".424",".780",".360","94","","5.3","-44.2","7.5","16.8","1651","1233","246","105","67","415","","402","37","","205","","91","71",".360"
"1946","Red Sox","1753","5318","6126","109","792","737","45","11.2%","10.8%",".131",".293",".271",".356",".402",".758",".360","109","","-7.9","54.3","57.7","34.3","1441","1014","268","50","109","687","","661","15","","106","133","45","36",".360"
"1928","Cardinals","1725","5357","6144","113","807","749","82","9.2%","7.1%",".144",".290",".281",".353",".425",".778",".359","102","","13.3","25.4","53.4","26.9","1505","1030","292","70","113","568","","438","32","","187","","82","",".359"
"1930","Indians","1759","5439","6120","72","890","830","51","7.9%","7.5%",".127",".322",".304",".363",".431",".795",".359","96","","-13.4","-48.1","3.1","16.4","1654","1166","356","60","72","481","","460","26","","174","","51","47",".359"
"1942","Red Sox","1625","5248","5984","103","761","702","68","9.9%","8.5%",".126",".291",".276",".352",".403",".755",".359","109","","-12.5","50.7","65.7","34.2","1451","1049","244","55","103","591","","508","22","","123","94","68","61",".359"
"2000","Giants","2123","5519","6418","226","925","889","79","11.0%","16.1%",".194",".303",".278",".362",".472",".834",".359","112","","-1.3","103.4","53.7","34.7","1535","961","304","44","226","709","60","1032","51","66","73","131","79","39",".359"
"1994","Indians","1189","4022","4493","167","679","647","131","8.5%","14.0%",".194",".306",".290",".351",".484",".835",".359","111","","5.1","71.1","-19.8","19.7","1165","738","240","20","167","382","40","629","18","38","33","80","131","48",".359"
"1924","Indians","1781","5329","6027","41","756","682","85","8.1%","6.0%",".104",".314",".298",".362",".402",".764",".359","96","","8.0","-27.3","-3.3","17.9","1588","1178","309","60","41","491","","363","47","","160","","85","57",".359"
"1925","Phillies","1854","5412","6035","100","812","731","48","7.6%","9.0%",".130",".314",".295",".354",".425",".779",".359","88","","-3.3","-103.4","-36.0","6.5","1598","1152","288","58","100","456","","542","34","","133","","48","59",".359"
"1928","Giants","1771","5459","6103","118","807","758","62","7.3%","6.2%",".137",".298",".293",".349",".430",".779",".359","103","","9.3","35.6","82.5","30.7","1600","1147","276","59","118","444","","376","27","","173","","62","",".359"
"1897","Senators","1281","4636","5141","36","781","674","208","7.3%","",".098","",".297",".357",".395",".752",".359","97","","-2.6","-28.9","6.0","15.2","1376","1069","194","77","36","374","","","59","","72","","208","",".359"
"1873","Red Stockings","540","2755","2817","12","739","489","39","2.2%","0.9%",".098",".338",".338",".352",".436",".788",".358","120","","-5.4","117.6","-4.0","15.3","930","728","146","44","12","62","","24","","","","","39","27",".358"
"2004","Red Sox","2417","5720","6515","222","949","912","68","10.1%","18.3%",".190",".319",".282",".360",".472",".832",".358","114","","-17.1","97.9","-66.6","24.7","1613","993","373","25","222","659","39","1189","69","55","12","123","68","30",".358"
"1938","Tigers","1678","5270","6060","137","862","804","76","11.4%","9.6%",".139",".285",".272",".359",".411",".770",".358","90","","-5.3","-97.4","43.2","17.2","1434","1026","219","52","137","693","","579","22","","75","","76","41",".358"
"1996","Rockies","2319","5590","6333","221","961","909","201","8.3%","17.5%",".185",".321",".287",".355",".472",".827",".358","93","","8.9","-45.4","35.7","17.6","1607","1052","297","37","221","527","40","1108","82","52","81","118","201","66",".358"
"1920","White Sox","1568","5330","6030","37","794","695","109","7.9%","5.8%",".107",".311",".295",".357",".402",".759",".358","101","","3.0","11.0","32.9","25.5","1574","1176","263","98","37","474","","350","38","","188","","109","94",".358"
"1999","Yankees","1891","5568","6416","193","900","855","104","11.2%","15.2%",".171",".309",".282",".366",".453",".819",".358","111","","-4.9","90.3","-39.9","25.9","1568","1037","302","36","193","718","47","978","55","53","22","137","104","57",".358"
"1911","Tigers","1602","5294","5995","30","831","657","276","7.9%","",".097","",".292",".355",".388",".743",".358","102","","9.6","27.8","-13.3","23.0","1544","1188","230","96","30","471","","","49","","181","","276","",".358"
"1935","Yankees","1610","5214","5917","104","818","755","68","10.2%","7.9%",".136",".293",".280",".358",".416",".774",".358","105","","-8.7","32.2","79.9","30.3","1462","1033","255","70","104","604","","469","28","","71","","68","46",".358"
"1996","Rangers","1706","5702","6494","221","928","890","83","10.2%","16.0%",".184",".311",".284",".358",".469",".827",".358","104","","3.3","35.7","3.2","27.0","1622","1046","323","32","221","660","51","1041","31","69","32","128","83","26",".358"
"1929","Robins","1731","5273","5954","99","755","705","80","8.5%","7.6%",".136",".304",".291",".355",".427",".782",".358","94","","13.7","-38.8","-5.9","14.5","1535","1085","282","69","99","504","","454","22","","155","","80","",".358"
"1955","Dodgers","1822","5193","6037","201","857","800","79","11.2%","11.9%",".177",".278",".271",".356",".448",".804",".358","109","","-1.9","67.1","91.2","33.3","1406","931","230","44","201","674","62","718","41","54","75","132","79","56",".358"
"1976","Reds","2135","5702","6538","141","857","802","210","10.4%","13.8%",".144",".309",".280",".357",".424",".781",".357","120","","19.0","166.6","39.2","45.9","1599","1124","271","63","141","681","64","902","28","60","67","103","210","57",".357"
"2000","White Sox","1791","5646","6410","216","978","926","119","9.2%","15.0%",".184",".309",".286",".356",".470",".826",".357","106","","5.3","58.3","-9.6","25.9","1615","1041","325","33","216","591","28","960","53","61","55","140","119","42",".357"
"1932","Phillies","1759","5510","6108","122","844","780","71","7.3%","9.0%",".151",".307",".292",".348",".442",".790",".357","99","","13.1","4.2","7.2","20.0","1608","1089","330","67","122","446","","547","27","","125","","71","",".357"
"1998","Rangers","1876","5672","6401","201","940","894","82","9.3%","16.3%",".173",".321",".289",".357",".462",".819",".357","108","","-4.1","60.6","-0.4","27.6","1637","1090","314","32","201","595","27","1045","39","54","41","137","82","47",".357"
"1995","Rockies","2118","4994","5647","200","785","749","125","8.6%","16.7%",".189",".311",".282",".350",".471",".820",".357","91","","-2.1","-65.9","1.8","12.4","1406","904","259","43","200","484","47","943","56","31","82","118","125","59",".357"
